ymd,doc_id,item,category,amount,price,discount
2025-05-12,2_120250512U,брюки,одежда,1,180.89,0
2025-05-12,2_120250512S,гель для душа,косметика,3,158.94,3
2025-05-12,2_120250512I,брюки,одежда,3,172.13,18
2025-05-12,2_120250512C,гель для мытья посуды,бытовая химия,2,130.27,19
2025-05-12,2_120250512H,стиральный порошок,бытовая химия,2,139.45,0
2025-05-12,2_120250512C,вилки,посуда,1,132.7,0
2025-05-12,2_120250512O,сковорода,посуда,3,108.13,0
2025-05-12,2_120250512H,шампунь,косметика,2,199.21,0
2025-05-12,2_120250512P,чистящее средство,бытовая химия,3,214.33,11
2025-05-12,2_120250512X,стиральный порошок,бытовая химия,1,171.39,0
2025-05-12,2_120250512J,брюки,одежда,3,225.24,0
2025-05-12,2_120250512B,чистящее средство,бытовая химия,1,212.34,3
2025-05-12,2_120250512L,кофта жен.,одежда,3,171.86,4
2025-05-12,2_120250512J,гель для душа,косметика,1,188.71,0
2025-05-12,2_120250512H,вилки,посуда,1,182.15,4
2025-05-12,2_120250512B,платье,одежда,1,139.86,12
2025-05-12,2_120250512W,тарелки,посуда,1,210.63,0
2025-05-12,2_120250512Q,туалетная вода муж.,косметика,1,133.09,0
2025-05-12,2_120250512M,шампунь,косметика,1,223.65,6
2025-05-12,2_120250512K,брюки,одежда,2,209.84,0
2025-05-12,2_120250512M,туалетная вода жен.,косметика,1,132.52,4
2025-05-12,2_120250512Y,гель для душа,косметика,3,164.93,16
2025-05-12,2_120250512M,гель для мытья посуды,бытовая химия,2,236.67,15
2025-05-12,2_120250512E,стиральный порошок,бытовая химия,1,134.31,0
2025-05-12,2_120250512S,вилки,посуда,3,119.31,0
2025-05-12,2_120250512R,гель для мытья посуды,бытовая химия,1,142.63,0
2025-05-12,2_120250512U,платье,одежда,2,217.04,0
2025-05-12,2_120250512N,туалетная вода муж.,косметика,2,228.4,0
2025-05-12,2_120250512D,тарелки,посуда,1,103.82,17
2025-05-12,2_120250512F,брюки,одежда,3,235.6,0
2025-05-12,2_120250512D,брюки,одежда,1,176.61,4
2025-05-12,2_120250512N,кофта жен.,одежда,1,149.2,0
2025-05-12,2_120250512S,платье,одежда,1,130.52,12
2025-05-12,2_120250512Q,чистящее средство,бытовая химия,1,129.16,16
2025-05-12,2_120250512T,шампунь,косметика,1,228.23,0
2025-05-12,2_120250512A,кастрюля,посуда,2,118.19,0
2025-05-12,2_120250512D,кофта жен.,одежда,1,209.81,17
2025-05-12,2_120250512G,брюки,одежда,2,214.76,0
2025-05-12,2_120250512H,шампунь,косметика,2,107.81,0
2025-05-12,2_120250512Q,куртка муж.,одежда,3,153.66,0
2025-05-12,2_120250512U,куртка муж.,одежда,2,119.22,0
2025-05-12,2_120250512O,шампунь,косметика,1,140.77,20
2025-05-12,2_120250512E,чистящее средство,бытовая химия,3,198.03,0
2025-05-12,2_120250512Y,шампунь,косметика,1,126.13,0
2025-05-12,2_120250512G,стиральный порошок,бытовая химия,2,213.88,11
2025-05-12,2_120250512O,тарелки,посуда,3,233.56,17
2025-05-12,2_120250512T,кастрюля,посуда,1,188.74,5
2025-05-12,2_120250512I,средство для унитазов,бытовая химия,3,226.42,3
2025-05-12,2_120250512I,туалетная вода муж.,косметика,1,153.82,6
2025-05-12,2_120250512F,мыло,косметика,3,153.13,13
