ymd,doc_id,item,category,amount,price,discount
2025-05-12,1_320250512Y,мыло,косметика,2,138.7,18
2025-05-12,1_320250512M,средство для унитазов,бытовая химия,3,167.15,0
2025-05-12,1_320250512K,средство для унитазов,бытовая химия,2,218.78,18
2025-05-12,1_320250512F,сковорода,посуда,1,246.27,1
2025-05-12,1_320250512G,туалетная вода муж.,косметика,3,116.48,0
2025-05-12,1_320250512W,стиральный порошок,бытовая химия,2,115.69,18
2025-05-12,1_320250512X,ложки,посуда,2,154.03,10
2025-05-12,1_320250512O,тарелки,посуда,3,156.24,0
2025-05-12,1_320250512K,шампунь,косметика,3,189.72,0
2025-05-12,1_320250512W,гель для душа,косметика,2,247.35,0
2025-05-12,1_320250512E,гель для душа,косметика,2,232.17,0
2025-05-12,1_320250512K,стиральный порошок,бытовая химия,2,103.22,13
2025-05-12,1_320250512Q,гель для мытья посуды,бытовая химия,1,124.89,0
2025-05-12,1_320250512Z,кастрюля,посуда,2,137.61,15
2025-05-12,1_320250512E,куртка муж.,одежда,1,104.54,0
2025-05-12,1_320250512S,туалетная вода жен.,косметика,3,218.74,0
2025-05-12,1_320250512R,чистящее средство,бытовая химия,2,178.81,0
2025-05-12,1_320250512I,гель для мытья посуды,бытовая химия,3,189.95,0
2025-05-12,1_320250512U,кастрюля,посуда,2,194.6,16
2025-05-12,1_320250512V,гель для мытья посуды,бытовая химия,2,193.98,0
2025-05-12,1_320250512P,брюки,одежда,3,167.77,8
2025-05-12,1_320250512Z,ложки,посуда,1,207.96,11
2025-05-12,1_320250512Z,средство для унитазов,бытовая химия,2,213.79,0
2025-05-12,1_320250512V,рубашка,одежда,2,122.69,1
2025-05-12,1_320250512Z,платье,одежда,1,201.89,7
2025-05-12,1_320250512J,стиральный порошок,бытовая химия,2,167.7,4
2025-05-12,1_320250512D,рубашка,одежда,2,119.75,0
2025-05-12,1_320250512S,шампунь,косметика,3,136.25,0
2025-05-12,1_320250512P,вилки,посуда,3,144.22,1
2025-05-12,1_320250512B,ложки,посуда,3,203.54,0
2025-05-12,1_320250512L,туалетная вода муж.,косметика,2,126.75,4
2025-05-12,1_320250512U,гель для душа,косметика,3,127.06,0
2025-05-12,1_320250512Q,чистящее средство,бытовая химия,2,231.38,9
2025-05-12,1_320250512W,ложки,посуда,3,195.7,0
2025-05-12,1_320250512G,шампунь,косметика,3,173.41,0
2025-05-12,1_320250512I,туалетная вода муж.,косметика,1,212.52,0
2025-05-12,1_320250512T,ложки,посуда,1,127.33,0
2025-05-12,1_320250512R,вилки,посуда,3,224.17,0
2025-05-12,1_320250512D,туалетная вода муж.,косметика,3,175.07,0
2025-05-12,1_320250512K,рубашка,одежда,2,169.47,11
2025-05-12,1_320250512J,ложки,посуда,3,199.24,0
2025-05-12,1_320250512S,тарелки,посуда,1,161.16,12
2025-05-12,1_320250512Y,рубашка,одежда,3,249.42,0
2025-05-12,1_320250512W,мыло,косметика,1,126.03,5
2025-05-12,1_320250512N,куртка муж.,одежда,2,160.09,13
2025-05-12,1_320250512M,гель для мытья посуды,бытовая химия,2,234.1,5
2025-05-12,1_320250512A,платье,одежда,2,190.38,0
2025-05-12,1_320250512A,средство для унитазов,бытовая химия,3,121.87,1
2025-05-12,1_320250512S,гель для мытья посуды,бытовая химия,2,115.1,0
2025-05-12,1_320250512U,туалетная вода муж.,косметика,1,225.32,0
