ymd,doc_id,item,category,amount,price,discount
2025-05-12,1_120250512A,шампунь,косметика,2,119.44,0
2025-05-12,1_120250512B,кофта жен.,одежда,1,249.3,14
2025-05-12,1_120250512L,вилки,посуда,2,214.85,0
2025-05-12,1_120250512R,вилки,посуда,3,136.01,0
2025-05-12,1_120250512A,стиральный порошок,бытовая химия,1,169.81,0
2025-05-12,1_120250512K,тарелки,посуда,2,230.01,7
2025-05-12,1_120250512B,туалетная вода жен.,косметика,1,179.15,6
2025-05-12,1_120250512K,рубашка,одежда,1,144.04,0
2025-05-12,1_120250512V,шампунь,косметика,2,106.46,20
2025-05-12,1_120250512U,брюки,одежда,2,158.4,14
2025-05-12,1_120250512F,туалетная вода жен.,косметика,2,247.17,3
2025-05-12,1_120250512W,чистящее средство,бытовая химия,2,178.53,20
2025-05-12,1_120250512Z,кастрюля,посуда,1,146.8,13
2025-05-12,1_120250512A,чистящее средство,бытовая химия,1,117.98,0
2025-05-12,1_120250512W,мыло,косметика,2,105.33,0
2025-05-12,1_120250512Q,гель для душа,косметика,3,121.15,7
2025-05-12,1_120250512J,вилки,посуда,1,249.45,1
2025-05-12,1_120250512U,кофта жен.,одежда,3,197.58,18
2025-05-12,1_120250512R,гель для душа,косметика,2,210.15,0
2025-05-12,1_120250512G,ложки,посуда,3,193.45,16
2025-05-12,1_120250512E,брюки,одежда,2,180.72,0
2025-05-12,1_120250512Y,кофта жен.,одежда,2,190.61,1
2025-05-12,1_120250512X,гель для мытья посуды,бытовая химия,1,164.36,19
2025-05-12,1_120250512S,куртка муж.,одежда,3,192.87,0
2025-05-12,1_120250512P,брюки,одежда,3,221.67,18
2025-05-12,1_120250512I,тарелки,посуда,2,231.61,0
2025-05-12,1_120250512V,вилки,посуда,1,213.16,0
2025-05-12,1_120250512D,платье,одежда,3,127.14,12
2025-05-12,1_120250512U,кастрюля,посуда,1,200.34,18
2025-05-12,1_120250512G,куртка муж.,одежда,2,241.25,0
2025-05-12,1_120250512F,стиральный порошок,бытовая химия,1,191.15,0
2025-05-12,1_120250512C,рубашка,одежда,2,238.79,0
2025-05-12,1_120250512I,кофта жен.,одежда,3,207.38,5
2025-05-12,1_120250512R,гель для мытья посуды,бытовая химия,1,186.51,0
2025-05-12,1_120250512W,стиральный порошок,бытовая химия,3,205.98,0
2025-05-12,1_120250512S,гель для мытья посуды,бытовая химия,2,187.26,0
2025-05-12,1_120250512K,средство для унитазов,бытовая химия,3,172.29,0
2025-05-12,1_120250512Y,шампунь,косметика,3,196.32,0
2025-05-12,1_120250512M,средство для унитазов,бытовая химия,3,146.48,12
2025-05-12,1_120250512J,средство для унитазов,бытовая химия,2,135.14,0
2025-05-12,1_120250512Z,ложки,посуда,2,115.7,17
2025-05-12,1_120250512E,мыло,косметика,3,101.34,0
2025-05-12,1_120250512W,туалетная вода муж.,косметика,1,219.15,0
2025-05-12,1_120250512K,тарелки,посуда,2,103.49,3
2025-05-12,1_120250512U,стиральный порошок,бытовая химия,3,246.1,0
2025-05-12,1_120250512J,стиральный порошок,бытовая химия,3,125.14,0
2025-05-12,1_120250512X,ложки,посуда,2,146.55,2
2025-05-12,1_120250512U,куртка муж.,одежда,2,161.66,3
2025-05-12,1_120250512W,брюки,одежда,1,229.11,15
2025-05-12,1_120250512J,чистящее средство,бытовая химия,2,124.72,5
