ymd,doc_id,item,category,amount,price,discount
2025-05-12,3_220250512N,средство для унитазов,бытовая химия,1,179.64,0
2025-05-12,3_220250512M,сковорода,посуда,1,169.7,1
2025-05-12,3_220250512M,ложки,посуда,2,186.04,0
2025-05-12,3_220250512L,чистящее средство,бытовая химия,1,103.67,4
2025-05-12,3_220250512J,кофта жен.,одежда,2,144.56,12
2025-05-12,3_220250512Q,мыло,косметика,2,211.61,0
2025-05-12,3_220250512F,тарелки,посуда,1,123.36,11
2025-05-12,3_220250512V,тарелки,посуда,3,247.85,8
2025-05-12,3_220250512K,гель для душа,косметика,3,163.35,14
2025-05-12,3_220250512Q,шампунь,косметика,1,114.11,0
2025-05-12,3_220250512W,вилки,посуда,1,233.79,14
2025-05-12,3_220250512D,куртка муж.,одежда,2,155.89,0
2025-05-12,3_220250512Y,куртка муж.,одежда,1,202.86,19
2025-05-12,3_220250512L,гель для мытья посуды,бытовая химия,3,174.68,17
2025-05-12,3_220250512J,шампунь,косметика,3,243.18,1
2025-05-12,3_220250512T,средство для унитазов,бытовая химия,3,154.95,18
2025-05-12,3_220250512Q,гель для душа,косметика,3,100.93,5
2025-05-12,3_220250512G,шампунь,косметика,2,143.02,0
2025-05-12,3_220250512V,куртка муж.,одежда,3,150.95,0
2025-05-12,3_220250512S,гель для мытья посуды,бытовая химия,1,144.24,12
2025-05-12,3_220250512R,куртка муж.,одежда,2,160.85,14
2025-05-12,3_220250512L,вилки,посуда,2,132.4,11
2025-05-12,3_220250512A,платье,одежда,2,224.53,19
2025-05-12,3_220250512B,тарелки,посуда,2,217.59,8
2025-05-12,3_220250512D,туалетная вода жен.,косметика,1,240.73,10
2025-05-12,3_220250512W,платье,одежда,2,173.18,0
2025-05-12,3_220250512W,средство для унитазов,бытовая химия,1,217.11,2
2025-05-12,3_220250512P,кастрюля,посуда,3,153.46,0
2025-05-12,3_220250512I,кофта жен.,одежда,3,220.76,6
2025-05-12,3_220250512X,чистящее средство,бытовая химия,1,148.85,14
2025-05-12,3_220250512N,стиральный порошок,бытовая химия,2,194.57,1
2025-05-12,3_220250512F,гель для душа,косметика,3,206.31,19
2025-05-12,3_220250512Z,вилки,посуда,3,224.15,0
2025-05-12,3_220250512C,сковорода,посуда,2,246.5,0
2025-05-12,3_220250512O,гель для душа,косметика,1,201.77,0
2025-05-12,3_220250512Q,рубашка,одежда,3,154.77,2
2025-05-12,3_220250512N,куртка муж.,одежда,1,210.32,15
2025-05-12,3_220250512L,рубашка,одежда,3,143.05,8
2025-05-12,3_220250512K,туалетная вода муж.,косметика,1,172.18,20
2025-05-12,3_220250512S,тарелки,посуда,3,230.34,5
2025-05-12,3_220250512B,брюки,одежда,3,153.69,14
2025-05-12,3_220250512W,стиральный порошок,бытовая химия,1,139.47,0
2025-05-12,3_220250512G,брюки,одежда,3,217.49,17
2025-05-12,3_220250512G,кастрюля,посуда,1,186.75,0
2025-05-12,3_220250512I,мыло,косметика,1,134.65,12
2025-05-12,3_220250512N,туалетная вода муж.,косметика,3,153.47,10
2025-05-12,3_220250512K,ложки,посуда,3,112.27,0
2025-05-12,3_220250512O,куртка муж.,одежда,2,213.85,14
2025-05-12,3_220250512Z,средство для унитазов,бытовая химия,1,133.69,3
2025-05-12,3_220250512B,брюки,одежда,2,242.78,0
