ymd,doc_id,item,category,amount,price,discount
2025-05-12,3_120250512I,вилки,посуда,3,129.57,5
2025-05-12,3_120250512H,вилки,посуда,2,181.14,0
2025-05-12,3_120250512L,гель для душа,косметика,1,173.17,0
2025-05-12,3_120250512S,кастрюля,посуда,2,163.51,20
2025-05-12,3_120250512B,рубашка,одежда,3,135.07,0
2025-05-12,3_120250512Y,шампунь,косметика,3,114.82,0
2025-05-12,3_120250512A,чистящее средство,бытовая химия,3,183.53,3
2025-05-12,3_120250512O,куртка муж.,одежда,3,225.31,4
2025-05-12,3_120250512Z,куртка муж.,одежда,3,103.03,14
2025-05-12,3_120250512G,гель для душа,косметика,3,152.17,0
2025-05-12,3_120250512T,тарелки,посуда,1,160.95,17
2025-05-12,3_120250512Y,гель для душа,косметика,1,156.71,20
2025-05-12,3_120250512W,куртка муж.,одежда,1,234.04,0
2025-05-12,3_120250512Z,гель для мытья посуды,бытовая химия,1,184.34,14
2025-05-12,3_120250512Z,сковорода,посуда,2,237.16,0
2025-05-12,3_120250512Z,сковорода,посуда,3,141.92,0
2025-05-12,3_120250512G,вилки,посуда,2,149.22,3
2025-05-12,3_120250512Z,гель для мытья посуды,бытовая химия,3,193.84,20
2025-05-12,3_120250512Q,тарелки,посуда,3,101.12,8
2025-05-12,3_120250512D,тарелки,посуда,2,154.88,0
2025-05-12,3_120250512C,средство для унитазов,бытовая химия,3,101.81,18
2025-05-12,3_120250512Y,гель для душа,косметика,2,167.97,15
2025-05-12,3_120250512B,гель для душа,косметика,1,163.36,0
2025-05-12,3_120250512I,мыло,косметика,1,120.27,0
2025-05-12,3_120250512M,рубашка,одежда,2,145.47,17
2025-05-12,3_120250512H,туалетная вода муж.,косметика,2,103.34,6
2025-05-12,3_120250512W,мыло,косметика,1,173.41,17
2025-05-12,3_120250512B,мыло,косметика,3,142.25,1
2025-05-12,3_120250512V,стиральный порошок,бытовая химия,3,148.5,0
2025-05-12,3_120250512T,платье,одежда,3,139.84,19
2025-05-12,3_120250512E,ложки,посуда,2,224.08,19
2025-05-12,3_120250512A,ложки,посуда,2,148.21,4
2025-05-12,3_120250512L,мыло,косметика,3,221.92,19
2025-05-12,3_120250512Y,гель для мытья посуды,бытовая химия,1,231.49,0
2025-05-12,3_120250512W,стиральный порошок,бытовая химия,3,196.97,19
2025-05-12,3_120250512M,платье,одежда,2,199.23,7
2025-05-12,3_120250512U,мыло,косметика,1,211.4,14
2025-05-12,3_120250512I,шампунь,косметика,3,145.5,14
2025-05-12,3_120250512Q,гель для душа,косметика,1,142.47,0
2025-05-12,3_120250512Q,брюки,одежда,1,109.17,16
2025-05-12,3_120250512G,мыло,косметика,2,214.75,8
2025-05-12,3_120250512S,средство для унитазов,бытовая химия,3,215.8,0
2025-05-12,3_120250512E,куртка муж.,одежда,3,200.18,0
2025-05-12,3_120250512G,чистящее средство,бытовая химия,3,176.88,0
2025-05-12,3_120250512D,гель для мытья посуды,бытовая химия,2,100.81,0
2025-05-12,3_120250512S,туалетная вода жен.,косметика,2,144.46,14
2025-05-12,3_120250512Q,чистящее средство,бытовая химия,1,138.95,8
2025-05-12,3_120250512X,чистящее средство,бытовая химия,3,244.82,0
2025-05-12,3_120250512R,средство для унитазов,бытовая химия,3,238.38,0
2025-05-12,3_120250512H,средство для унитазов,бытовая химия,1,164.54,20
