ymd,doc_id,item,category,amount,price,discount
2025-05-12,1_220250512Q,тарелки,посуда,3,157.45,4
2025-05-12,1_220250512V,кофта жен.,одежда,3,247.11,2
2025-05-12,1_220250512S,туалетная вода жен.,косметика,2,222.34,14
2025-05-12,1_220250512A,шампунь,косметика,2,222.31,0
2025-05-12,1_220250512U,стиральный порошок,бытовая химия,1,204.02,19
2025-05-12,1_220250512A,мыло,косметика,3,193.76,8
2025-05-12,1_220250512V,гель для мытья посуды,бытовая химия,1,139.21,0
2025-05-12,1_220250512M,туалетная вода муж.,косметика,1,230.09,0
2025-05-12,1_220250512O,кофта жен.,одежда,3,135.36,1
2025-05-12,1_220250512X,стиральный порошок,бытовая химия,3,162.77,0
2025-05-12,1_220250512U,кастрюля,посуда,2,179.51,0
2025-05-12,1_220250512C,чистящее средство,бытовая химия,2,149.13,11
2025-05-12,1_220250512I,вилки,посуда,1,193.9,0
2025-05-12,1_220250512X,стиральный порошок,бытовая химия,1,118.66,7
2025-05-12,1_220250512S,тарелки,посуда,1,154.29,0
2025-05-12,1_220250512A,куртка муж.,одежда,1,176.11,10
2025-05-12,1_220250512Y,гель для душа,косметика,3,103.92,0
2025-05-12,1_220250512J,гель для мытья посуды,бытовая химия,3,123.98,13
2025-05-12,1_220250512A,мыло,косметика,3,126.59,20
2025-05-12,1_220250512O,туалетная вода муж.,косметика,3,104.97,0
2025-05-12,1_220250512L,стиральный порошок,бытовая химия,3,217.79,0
2025-05-12,1_220250512B,гель для мытья посуды,бытовая химия,1,242.56,10
2025-05-12,1_220250512F,брюки,одежда,3,231.73,11
2025-05-12,1_220250512H,вилки,посуда,1,112.35,3
2025-05-12,1_220250512A,туалетная вода жен.,косметика,3,128.07,7
2025-05-12,1_220250512Z,чистящее средство,бытовая химия,3,218.8,12
2025-05-12,1_220250512N,мыло,косметика,2,181.45,6
2025-05-12,1_220250512C,рубашка,одежда,3,126.98,14
2025-05-12,1_220250512I,гель для душа,косметика,1,231.86,8
2025-05-12,1_220250512I,вилки,посуда,2,142.44,0
2025-05-12,1_220250512Q,туалетная вода жен.,косметика,3,107.43,3
2025-05-12,1_220250512P,туалетная вода муж.,косметика,2,183.53,0
2025-05-12,1_220250512Q,туалетная вода жен.,косметика,2,219.88,9
2025-05-12,1_220250512V,мыло,косметика,1,103.2,0
2025-05-12,1_220250512N,сковорода,посуда,3,223.96,10
2025-05-12,1_220250512I,туалетная вода муж.,косметика,3,134.75,15
2025-05-12,1_220250512B,вилки,посуда,2,228.53,20
2025-05-12,1_220250512M,туалетная вода жен.,косметика,2,245.7,0
2025-05-12,1_220250512T,кастрюля,посуда,2,170.33,3
2025-05-12,1_220250512P,гель для душа,косметика,3,181.02,2
2025-05-12,1_220250512E,туалетная вода жен.,косметика,3,148.63,15
2025-05-12,1_220250512H,шампунь,косметика,3,146.89,3
2025-05-12,1_220250512X,тарелки,посуда,1,187.67,5
2025-05-12,1_220250512G,чистящее средство,бытовая химия,2,157.37,6
2025-05-12,1_220250512A,вилки,посуда,2,163.22,0
2025-05-12,1_220250512V,мыло,косметика,2,209.15,7
2025-05-12,1_220250512B,кастрюля,посуда,1,154.75,0
2025-05-12,1_220250512P,рубашка,одежда,3,109.27,1
2025-05-12,1_220250512M,вилки,посуда,3,176.91,0
2025-05-12,1_220250512F,туалетная вода жен.,косметика,3,194.38,6
