ymd,doc_id,item,category,amount,price,discount
2025-05-12,2_320250512D,куртка муж.,одежда,1,197.07,0
2025-05-12,2_320250512M,стиральный порошок,бытовая химия,2,193.19,0
2025-05-12,2_320250512Y,чистящее средство,бытовая химия,1,223.65,15
2025-05-12,2_320250512A,вилки,посуда,3,177.16,13
2025-05-12,2_320250512Z,шампунь,косметика,1,139.18,12
2025-05-12,2_320250512C,куртка муж.,одежда,2,166.78,13
2025-05-12,2_320250512Y,туалетная вода муж.,косметика,3,152.43,0
2025-05-12,2_320250512R,вилки,посуда,3,190.94,3
2025-05-12,2_320250512Y,брюки,одежда,2,240.16,0
2025-05-12,2_320250512B,туалетная вода муж.,косметика,1,119.96,0
2025-05-12,2_320250512A,стиральный порошок,бытовая химия,3,191.16,19
2025-05-12,2_320250512M,стиральный порошок,бытовая химия,1,145.18,0
2025-05-12,2_320250512M,мыло,косметика,2,113.51,0
2025-05-12,2_320250512I,средство для унитазов,бытовая химия,3,238.93,0
2025-05-12,2_320250512Z,гель для мытья посуды,бытовая химия,3,187.08,0
2025-05-12,2_320250512Z,гель для душа,косметика,2,188.6,0
2025-05-12,2_320250512V,шампунь,косметика,3,244.49,0
2025-05-12,2_320250512U,шампунь,косметика,2,228.71,0
2025-05-12,2_320250512Z,мыло,косметика,2,185.93,0
2025-05-12,2_320250512D,стиральный порошок,бытовая химия,2,147.39,18
2025-05-12,2_320250512R,ложки,посуда,3,177.26,18
2025-05-12,2_320250512K,платье,одежда,1,237.1,10
2025-05-12,2_320250512X,чистящее средство,бытовая химия,3,133.0,0
2025-05-12,2_320250512I,гель для мытья посуды,бытовая химия,2,246.46,0
2025-05-12,2_320250512H,сковорода,посуда,3,216.55,18
2025-05-12,2_320250512Z,кастрюля,посуда,2,151.34,0
2025-05-12,2_320250512X,ложки,посуда,3,249.75,9
2025-05-12,2_320250512K,рубашка,одежда,1,110.64,0
2025-05-12,2_320250512E,средство для унитазов,бытовая химия,2,236.21,7
2025-05-12,2_320250512X,ложки,посуда,3,145.0,16
2025-05-12,2_320250512C,стиральный порошок,бытовая химия,1,100.88,14
2025-05-12,2_320250512F,тарелки,посуда,1,217.91,0
2025-05-12,2_320250512R,гель для мытья посуды,бытовая химия,1,138.86,14
2025-05-12,2_320250512T,средство для унитазов,бытовая химия,2,132.38,6
2025-05-12,2_320250512K,платье,одежда,3,156.11,0
2025-05-12,2_320250512W,вилки,посуда,2,193.81,1
2025-05-12,2_320250512H,мыло,косметика,2,103.6,0
2025-05-12,2_320250512T,ложки,посуда,1,145.5,14
2025-05-12,2_320250512S,мыло,косметика,2,189.39,20
2025-05-12,2_320250512O,платье,одежда,3,218.7,0
2025-05-12,2_320250512M,туалетная вода муж.,косметика,2,126.93,0
2025-05-12,2_320250512M,чистящее средство,бытовая химия,1,122.77,11
2025-05-12,2_320250512K,туалетная вода муж.,косметика,3,222.86,0
2025-05-12,2_320250512Q,куртка муж.,одежда,1,111.2,12
2025-05-12,2_320250512K,стиральный порошок,бытовая химия,3,225.31,13
2025-05-12,2_320250512S,сковорода,посуда,1,199.94,0
2025-05-12,2_320250512P,рубашка,одежда,1,237.36,7
2025-05-12,2_320250512V,туалетная вода муж.,косметика,3,215.64,11
2025-05-12,2_320250512Q,сковорода,посуда,2,127.34,18
2025-05-12,2_320250512Y,мыло,косметика,1,213.46,0
