ymd,doc_id,item,category,amount,price,discount
2025-05-12,2_220250512P,чистящее средство,бытовая химия,2,226.66,13
2025-05-12,2_220250512J,стиральный порошок,бытовая химия,1,228.29,18
2025-05-12,2_220250512V,гель для мытья посуды,бытовая химия,2,155.9,16
2025-05-12,2_220250512X,чистящее средство,бытовая химия,2,180.91,8
2025-05-12,2_220250512E,средство для унитазов,бытовая химия,3,157.5,0
2025-05-12,2_220250512L,брюки,одежда,2,112.82,10
2025-05-12,2_220250512Q,средство для унитазов,бытовая химия,2,156.67,9
2025-05-12,2_220250512Q,стиральный порошок,бытовая химия,1,168.85,6
2025-05-12,2_220250512Y,вилки,посуда,2,199.52,2
2025-05-12,2_220250512B,тарелки,посуда,3,181.61,0
2025-05-12,2_220250512G,куртка муж.,одежда,3,204.98,4
2025-05-12,2_220250512H,сковорода,посуда,3,140.61,2
2025-05-12,2_220250512D,вилки,посуда,2,125.31,0
2025-05-12,2_220250512H,шампунь,косметика,1,109.01,10
2025-05-12,2_220250512X,сковорода,посуда,3,134.14,5
2025-05-12,2_220250512J,сковорода,посуда,2,192.29,0
2025-05-12,2_220250512F,рубашка,одежда,2,150.63,20
2025-05-12,2_220250512G,платье,одежда,2,175.15,0
2025-05-12,2_220250512D,чистящее средство,бытовая химия,2,114.84,8
2025-05-12,2_220250512H,стиральный порошок,бытовая химия,1,209.01,0
2025-05-12,2_220250512F,ложки,посуда,1,128.01,0
2025-05-12,2_220250512N,ложки,посуда,1,127.54,0
2025-05-12,2_220250512L,шампунь,косметика,2,158.95,0
2025-05-12,2_220250512B,чистящее средство,бытовая химия,1,180.6,0
2025-05-12,2_220250512C,тарелки,посуда,2,243.15,0
2025-05-12,2_220250512C,чистящее средство,бытовая химия,2,218.26,0
2025-05-12,2_220250512I,средство для унитазов,бытовая химия,2,145.13,17
2025-05-12,2_220250512U,стиральный порошок,бытовая химия,2,171.07,0
2025-05-12,2_220250512G,шампунь,косметика,3,197.38,0
2025-05-12,2_220250512P,брюки,одежда,2,148.88,0
2025-05-12,2_220250512A,брюки,одежда,2,170.9,18
2025-05-12,2_220250512Z,стиральный порошок,бытовая химия,2,214.36,0
2025-05-12,2_220250512U,гель для душа,косметика,1,145.25,0
2025-05-12,2_220250512L,стиральный порошок,бытовая химия,2,218.24,14
2025-05-12,2_220250512K,вилки,посуда,3,136.53,0
2025-05-12,2_220250512I,кофта жен.,одежда,2,109.14,0
2025-05-12,2_220250512X,платье,одежда,1,175.79,0
2025-05-12,2_220250512M,кастрюля,посуда,2,189.29,20
2025-05-12,2_220250512B,рубашка,одежда,2,160.59,13
2025-05-12,2_220250512I,брюки,одежда,2,166.95,0
2025-05-12,2_220250512D,чистящее средство,бытовая химия,3,235.54,14
2025-05-12,2_220250512F,чистящее средство,бытовая химия,1,168.97,0
2025-05-12,2_220250512E,платье,одежда,1,198.47,0
2025-05-12,2_220250512V,мыло,косметика,1,246.4,10
2025-05-12,2_220250512D,гель для мытья посуды,бытовая химия,2,178.95,0
2025-05-12,2_220250512I,ложки,посуда,1,106.38,7
2025-05-12,2_220250512G,платье,одежда,1,187.96,11
2025-05-12,2_220250512P,гель для мытья посуды,бытовая химия,3,148.28,0
2025-05-12,2_220250512V,кастрюля,посуда,2,168.97,0
2025-05-12,2_220250512B,туалетная вода муж.,косметика,3,105.4,17
