ymd,doc_id,item,category,amount,price,discount
2025-05-12,1_420250512Z,туалетная вода жен.,косметика,2,214.96,11
2025-05-12,1_420250512K,тарелки,посуда,3,215.44,0
2025-05-12,1_420250512R,кофта жен.,одежда,2,196.52,16
2025-05-12,1_420250512L,туалетная вода муж.,косметика,2,114.39,2
2025-05-12,1_420250512E,брюки,одежда,1,117.15,0
2025-05-12,1_420250512W,туалетная вода муж.,косметика,2,115.33,9
2025-05-12,1_420250512X,ложки,посуда,1,103.05,0
2025-05-12,1_420250512F,туалетная вода жен.,косметика,1,139.59,0
2025-05-12,1_420250512L,гель для душа,косметика,2,240.36,0
2025-05-12,1_420250512U,шампунь,косметика,3,199.18,0
2025-05-12,1_420250512B,чистящее средство,бытовая химия,3,223.95,0
2025-05-12,1_420250512L,кофта жен.,одежда,2,104.79,0
2025-05-12,1_420250512K,рубашка,одежда,1,244.68,13
2025-05-12,1_420250512V,мыло,косметика,1,117.94,0
2025-05-12,1_420250512A,стиральный порошок,бытовая химия,3,115.07,0
2025-05-12,1_420250512I,гель для мытья посуды,бытовая химия,1,125.01,0
2025-05-12,1_420250512I,сковорода,посуда,1,116.03,15
2025-05-12,1_420250512F,вилки,посуда,1,143.95,14
2025-05-12,1_420250512L,сковорода,посуда,1,143.17,10
2025-05-12,1_420250512S,стиральный порошок,бытовая химия,3,147.66,0
2025-05-12,1_420250512L,платье,одежда,1,181.51,0
2025-05-12,1_420250512Q,шампунь,косметика,3,167.27,9
2025-05-12,1_420250512B,куртка муж.,одежда,2,224.36,3
2025-05-12,1_420250512P,гель для мытья посуды,бытовая химия,2,121.23,19
2025-05-12,1_420250512O,стиральный порошок,бытовая химия,3,246.88,10
2025-05-12,1_420250512Q,туалетная вода жен.,косметика,3,109.15,7
2025-05-12,1_420250512T,куртка муж.,одежда,3,219.76,7
2025-05-12,1_420250512R,тарелки,посуда,1,228.09,3
2025-05-12,1_420250512W,кастрюля,посуда,2,113.81,0
2025-05-12,1_420250512A,гель для мытья посуды,бытовая химия,2,228.11,7
2025-05-12,1_420250512L,туалетная вода жен.,косметика,3,157.13,8
2025-05-12,1_420250512O,стиральный порошок,бытовая химия,2,199.27,6
2025-05-12,1_420250512J,средство для унитазов,бытовая химия,2,154.39,2
2025-05-12,1_420250512W,куртка муж.,одежда,2,107.58,15
2025-05-12,1_420250512G,рубашка,одежда,1,195.93,0
2025-05-12,1_420250512A,тарелки,посуда,3,212.3,0
2025-05-12,1_420250512C,чистящее средство,бытовая химия,3,104.41,0
2025-05-12,1_420250512T,платье,одежда,1,242.4,20
2025-05-12,1_420250512P,шампунь,косметика,2,243.99,3
2025-05-12,1_420250512J,ложки,посуда,2,143.93,8
2025-05-12,1_420250512M,гель для душа,косметика,2,245.72,3
2025-05-12,1_420250512M,платье,одежда,1,247.41,4
2025-05-12,1_420250512P,средство для унитазов,бытовая химия,2,134.12,3
2025-05-12,1_420250512C,брюки,одежда,2,131.14,0
2025-05-12,1_420250512Y,куртка муж.,одежда,1,141.92,0
2025-05-12,1_420250512J,гель для мытья посуды,бытовая химия,1,116.23,12
2025-05-12,1_420250512D,мыло,косметика,1,206.22,12
2025-05-12,1_420250512H,мыло,косметика,2,100.14,0
2025-05-12,1_420250512I,шампунь,косметика,3,206.46,18
2025-05-12,1_420250512L,брюки,одежда,3,137.39,3
