ymd,doc_id,item,category,amount,price,discount
2025-05-12,2_420250512T,рубашка,одежда,1,127.5,6
2025-05-12,2_420250512T,сковорода,посуда,2,155.37,6
2025-05-12,2_420250512N,туалетная вода муж.,косметика,3,134.71,0
2025-05-12,2_420250512T,мыло,косметика,2,161.02,0
2025-05-12,2_420250512H,туалетная вода муж.,косметика,3,142.0,9
2025-05-12,2_420250512H,мыло,косметика,1,142.06,12
2025-05-12,2_420250512Z,мыло,косметика,2,101.51,0
2025-05-12,2_420250512E,ложки,посуда,1,125.6,0
2025-05-12,2_420250512P,кофта жен.,одежда,2,183.15,18
2025-05-12,2_420250512S,стиральный порошок,бытовая химия,1,154.68,3
2025-05-12,2_420250512H,стиральный порошок,бытовая химия,2,130.26,15
2025-05-12,2_420250512B,вилки,посуда,1,133.14,13
2025-05-12,2_420250512K,рубашка,одежда,3,229.34,13
2025-05-12,2_420250512C,средство для унитазов,бытовая химия,2,153.57,2
2025-05-12,2_420250512T,шампунь,косметика,3,225.76,0
2025-05-12,2_420250512B,рубашка,одежда,1,209.22,0
2025-05-12,2_420250512S,ложки,посуда,2,102.62,0
2025-05-12,2_420250512H,шампунь,косметика,1,158.18,8
2025-05-12,2_420250512J,вилки,посуда,1,230.4,0
2025-05-12,2_420250512K,рубашка,одежда,1,178.59,3
2025-05-12,2_420250512V,стиральный порошок,бытовая химия,2,158.31,15
2025-05-12,2_420250512U,гель для мытья посуды,бытовая химия,1,197.39,13
2025-05-12,2_420250512P,туалетная вода муж.,косметика,3,231.84,0
2025-05-12,2_420250512N,гель для душа,косметика,2,174.69,0
2025-05-12,2_420250512A,мыло,косметика,1,177.89,5
2025-05-12,2_420250512I,гель для мытья посуды,бытовая химия,1,194.07,0
2025-05-12,2_420250512C,сковорода,посуда,1,150.4,3
2025-05-12,2_420250512E,гель для душа,косметика,1,166.06,16
2025-05-12,2_420250512G,средство для унитазов,бытовая химия,3,188.91,16
2025-05-12,2_420250512X,брюки,одежда,2,210.5,4
2025-05-12,2_420250512C,средство для унитазов,бытовая химия,3,112.93,5
2025-05-12,2_420250512I,платье,одежда,3,112.8,10
2025-05-12,2_420250512O,чистящее средство,бытовая химия,3,168.03,1
2025-05-12,2_420250512H,стиральный порошок,бытовая химия,2,137.61,0
2025-05-12,2_420250512I,гель для мытья посуды,бытовая химия,3,169.13,0
2025-05-12,2_420250512B,сковорода,посуда,1,226.01,0
2025-05-12,2_420250512T,кофта жен.,одежда,1,114.75,16
2025-05-12,2_420250512B,чистящее средство,бытовая химия,2,246.04,12
2025-05-12,2_420250512T,куртка муж.,одежда,2,219.8,0
2025-05-12,2_420250512Y,туалетная вода жен.,косметика,2,148.57,7
2025-05-12,2_420250512S,ложки,посуда,1,179.62,0
2025-05-12,2_420250512S,стиральный порошок,бытовая химия,2,248.58,9
2025-05-12,2_420250512H,ложки,посуда,2,244.55,15
2025-05-12,2_420250512F,средство для унитазов,бытовая химия,2,127.45,0
2025-05-12,2_420250512B,кофта жен.,одежда,1,187.96,15
2025-05-12,2_420250512F,кофта жен.,одежда,1,161.34,9
2025-05-12,2_420250512P,рубашка,одежда,1,218.85,0
2025-05-12,2_420250512Z,туалетная вода жен.,косметика,2,208.09,14
2025-05-12,2_420250512N,брюки,одежда,1,225.52,0
2025-05-12,2_420250512U,сковорода,посуда,1,155.42,0
